city_key,city,dep_template_id,dep_stage_count_total,dep_active_stage_count,dep_stage_keys,dep_stage_names,dep_active_stage_names,dep_stage_mapping_status,dep_topout_stage_key,dep_registration_stage_key,dep_n_release_steps,dep_share_drawable_at_topout,dep_final_retained_share,dep_topout_status,dep_final_retained_status,dep_attribute_layer,dep_stage_ratio_definition,dep_source_file,dep_source_workbook,dep_mapping_version
五指山,五指山,4stage_Ncost,4,4,stage_1|stage_2|stage_3|stage_4,主体|装修|竣备|确权,主体|装修|竣备|确权,complete_named_milestones,stage_1,stage_4,4,0.3,0.1,cumulative_same_denominator_stage_shares,terminal_stage_share:monthly_revenue_stage_ratio,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
佛山,佛山,5stage_Pcost,5,4,stage_1|stage_2|stage_3|stage_4|stage_5,阶段1|阶段2|竣备|阶段4|阶段5,阶段1|阶段2|竣备|阶段4,partial_named_milestones,,,4,,,not_estimable:topout_stage_name_unmapped,not_estimable:registration_stage_name_unmapped,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
信阳,信阳,5stage_Pcost,5,5,stage_1|stage_2|stage_3|stage_4|stage_5,阶段1|主体|竣备|竣备|阶段5,阶段1|主体|竣备|竣备|阶段5,partial_named_milestones,stage_2,,5,0.5,,cumulative_same_denominator_stage_shares,not_estimable:registration_stage_name_unmapped,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
儋州,儋州,4stage_Ncost,4,3,stage_1|stage_2|stage_3|stage_4,主体|装修|竣备|确权,主体|竣备|确权,complete_named_milestones,stage_1,stage_4,3,1.0,0.21674736542295642,cumulative_same_denominator_stage_shares,terminal_stage_share:monthly_revenue_stage_ratio,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
六安,六安,5stage_Pcost,5,4,stage_1|stage_2|stage_3|stage_4|stage_5,阶段1|阶段2|竣备|阶段4|阶段5,阶段1|阶段2|竣备|阶段4,partial_named_milestones,,,4,,,not_estimable:topout_stage_name_unmapped,not_estimable:registration_stage_name_unmapped,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
兰州,兰州,4stage_Ncost,4,4,stage_1|stage_2|stage_3|stage_4,三分之二|阶段2|竣备|确权,三分之二|阶段2|竣备|确权,partial_named_milestones,,stage_4,4,,1.0,not_estimable:topout_stage_name_unmapped,terminal_stage_share:within_cohort_amount_share,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
北京,北京,4stage_Ncost,4,1,stage_1|stage_2|stage_3|stage_4,三分之二|阶段2|竣备|确权,三分之二,partial_named_milestones,,,1,,,not_estimable:topout_stage_name_unmapped,not_estimable:registration_stage_name_unmapped,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
北海,北海,4stage_Ncost,4,2,stage_1|stage_2|stage_3|stage_4,主体|装修|竣备|确权,竣备|确权,partial_named_milestones,,stage_4,2,,1.0,not_estimable:topout_stage_name_unmapped,terminal_stage_share:within_cohort_amount_share,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
合肥,合肥,5stage_Pcost,5,4,stage_1|stage_2|stage_3|stage_4|stage_5,阶段1|阶段2|竣备|阶段4|阶段5,阶段1|阶段2|竣备|阶段4,partial_named_milestones,,,4,,,not_estimable:topout_stage_name_unmapped,not_estimable:registration_stage_name_unmapped,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
定安,定安,4stage_Ncost,4,4,stage_1|stage_2|stage_3|stage_4,主体|装修|竣备|确权,主体|装修|竣备|确权,complete_named_milestones,stage_1,stage_4,4,0.3,0.10000000000000002,cumulative_same_denominator_stage_shares,terminal_stage_share:monthly_revenue_stage_ratio,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
屯昌,屯昌,4stage_Ncost,4,4,stage_1|stage_2|stage_3|stage_4,主体|装修|竣备|确权,主体|装修|竣备|确权,complete_named_milestones,stage_1,stage_4,4,0.3,0.10000000000000002,cumulative_same_denominator_stage_shares,terminal_stage_share:monthly_revenue_stage_ratio,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
广州,广州,5stage_Pcost,5,4,stage_1|stage_2|stage_3|stage_4|stage_5,阶段1|阶段2|竣备|阶段4|阶段5,阶段1|阶段2|竣备|阶段4,partial_named_milestones,,,4,,,not_estimable:topout_stage_name_unmapped,not_estimable:registration_stage_name_unmapped,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
惠州,惠州,5stage_Pcost,5,3,stage_1|stage_2|stage_3|stage_4|stage_5,阶段1|阶段2|竣备|阶段4|阶段5,阶段1|竣备|阶段4,partial_named_milestones,,,3,,,not_estimable:topout_stage_name_unmapped,not_estimable:registration_stage_name_unmapped,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
文昌,文昌,4stage_Ncost,4,4,stage_1|stage_2|stage_3|stage_4,主体|装修|竣备|确权,主体|装修|竣备|确权,complete_named_milestones,stage_1,stage_4,4,0.3,0.1,cumulative_same_denominator_stage_shares,terminal_stage_share:monthly_revenue_stage_ratio,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
昌江,昌江,4stage_Ncost,4,4,stage_1|stage_2|stage_3|stage_4,主体|装修|竣备|确权,主体|装修|竣备|确权,complete_named_milestones,stage_1,stage_4,4,0.30000000000000004,0.1,cumulative_same_denominator_stage_shares,terminal_stage_share:monthly_revenue_stage_ratio,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
汕头,汕头,5stage_Pcost,5,4,stage_1|stage_2|stage_3|stage_4|stage_5,阶段1|阶段2|竣备|阶段4|阶段5,阶段1|阶段2|竣备|阶段4,partial_named_milestones,,,4,,,not_estimable:topout_stage_name_unmapped,not_estimable:registration_stage_name_unmapped,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
海口,海口,4stage_Ncost,4,4,stage_1|stage_2|stage_3|stage_4,主体|装修|竣备|确权,主体|装修|竣备|确权,complete_named_milestones,stage_1,stage_4,4,0.7,0.1,cumulative_same_denominator_stage_shares,terminal_stage_share:monthly_revenue_stage_ratio,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
深圳,深圳,5stage_Pcost,5,3,stage_1|stage_2|stage_3|stage_4|stage_5,阶段1|阶段2|竣备|阶段4|阶段5,阶段1|阶段2|阶段4,partial_named_milestones,,,3,,,not_estimable:topout_stage_name_unmapped,not_estimable:registration_stage_name_unmapped,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
清远,清远,5stage_Pcost,5,2,stage_1|stage_2|stage_3|stage_4|stage_5,阶段1|阶段2|竣备|阶段4|阶段5,阶段1|阶段4,partial_named_milestones,,,2,,,not_estimable:topout_stage_name_unmapped,not_estimable:registration_stage_name_unmapped,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
澄迈,澄迈,4stage_Ncost,4,4,stage_1|stage_2|stage_3|stage_4,主体|装修|竣备|确权,主体|装修|竣备|确权,complete_named_milestones,stage_1,stage_4,4,0.47368421052631576,1.0,cumulative_same_denominator_stage_shares,terminal_stage_share:within_cohort_amount_share,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
珠海,珠海,5stage_Pcost,5,2,stage_1|stage_2|stage_3|stage_4|stage_5,阶段1|阶段2|竣备|阶段4|阶段5,阶段1|阶段4,partial_named_milestones,,,2,,,not_estimable:topout_stage_name_unmapped,not_estimable:registration_stage_name_unmapped,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
琼中,琼中,4stage_Ncost,4,1,stage_1|stage_2|stage_3|stage_4,主体|装修|竣备|确权,确权,partial_named_milestones,,stage_4,1,,1.0,not_estimable:topout_stage_name_unmapped,terminal_stage_share:within_cohort_amount_share,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
琼海,琼海,4stage_Ncost,4,2,stage_1|stage_2|stage_3|stage_4,主体|装修|竣备|确权,竣备|确权,partial_named_milestones,,stage_4,2,,1.0,not_estimable:topout_stage_name_unmapped,terminal_stage_share:within_cohort_amount_share,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
白沙,白沙县,4stage_Ncost,4,4,stage_1|stage_2|stage_3|stage_4,主体|装修|竣备|确权,主体|装修|竣备|确权,complete_named_milestones,stage_1,stage_4,4,0.3,0.10000000000000002,cumulative_same_denominator_stage_shares,terminal_stage_share:monthly_revenue_stage_ratio,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
肇庆,肇庆,5stage_Pcost,5,3,stage_1|stage_2|stage_3|stage_4|stage_5,阶段1|阶段2|竣备|阶段4|阶段5,阶段1|阶段2|竣备,partial_named_milestones,,,3,,,not_estimable:topout_stage_name_unmapped,not_estimable:registration_stage_name_unmapped,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
陵水,陵水,4stage_Ncost,4,4,stage_1|stage_2|stage_3|stage_4,主体|装修|竣备|确权,主体|装修|竣备|确权,complete_named_milestones,stage_1,stage_4,4,0.29999999999999993,0.09999999999999999,cumulative_same_denominator_stage_shares,terminal_stage_share:monthly_revenue_stage_ratio,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
韶关,韶关,5stage_Pcost,5,3,stage_1|stage_2|stage_3|stage_4|stage_5,阶段1|阶段2|竣备|阶段4|阶段5,阶段1|竣备|阶段4,partial_named_milestones,,,3,,,not_estimable:topout_stage_name_unmapped,not_estimable:registration_stage_name_unmapped,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
